REFNUM,ACRE
00000375,0.9+
00000376,3.8+
00000377,3.5+
00000378,0.9+
00000379,0.3+
00000380,10.0+
00000381,18.3+
00000382,2.9+
00000383,0.9+
00000384,367.5+
00000385,0.9+
00000386,2.3+
00000387,0.9+
00000388,0.9+
00000389,111.0+
00000390,16.0+
00000391,155.0+
00000392,73.0+
00000393,16.0+
00000394,2.8+
00000395,0.3+
00000396,8.8+
00000397,10.6+
00000398,11.3+
00000399,33.0+
00000400,49.6+
00000401,19.3+
00000402,35.8+
00000403,59.5+
00000404,0.3+
00000405,0.9+
00000406,3.5+
00000407,0.9+
00000408,0.9+
00000409,0.6+
00000410,93.7+
00000411,0.9+
00000412,39.0+
00000413,4.0+
00000414,488.0+
00000415,23.0+
00000416,0.9+
00000417,0.9+
00000418,3.0+
00000419,1.3+
00000420,0.9+
00000421,10.0+
00000422,8.8+
00000423,0.9+
00000424,0.9+
00000425,0.9+
00000426,550.0+
00000427,4.7+
00000429,5.0+
00000430,0.9+
00000431,0.9+
00000432,0.9+
00000433,0.9+
00000434,0.9+
00000435,0.9+
00000436,0.9+
00000437,0.9+
00000438,0.9+
00000439,0.9+
00000440,0.9+
00000441,5.0+
00000442,59.0+
00000443,30.0+
00000444,0.3+
00000445,2.0+
00000446,32.2+
00000447,0.9+
00000448,0.9+
00000449,0.9+
00000450,0.9+
00000451,0.9+
00000452,1.0+
00000453,0.9+
00000454,0.9+
00000455,1.0+
00000456,55.0+
00000457,0.4+
00000458,1.2+
00000459,0.9+
00000460,0.9+
00000461,0.5+
00000462,0.9+
00000463,26.0+
00000464,0.9+
00000465,0.9+
00000466,0.9+
00000467,603.3+
00000468,0.9+
00000469,1.0+
00000470,24.0+
00000471,60.0+
00000472,0.9+
00000473,0.9+
00000474,0.9+
00000475,47.9+
00000476,0.9+
00000477,2.9+
00000478,0.9+
00000479,1.9+
00000480,100.0+
00000481,3.9+
00000482,1.1+
00000483,6.3+
00000484,18.9+
00000485,4.0+
00000486,0.9+
00000487,0.9+
00000488,7.1+
00000489,21371.0+
00000490,0.1+
00000491,141.0+
00000492,0.9+
00000493,1.0+
00000495,0.7+
00000496,1.0+
00000497,15.0+
00000498,0.9+
00000499,1.9+
00000500,0.9+
00000501,1.0+
00000502,10.2+
00000503,0.9+
00000504,75.0+
00000505,1.0+
00000506,0.9+
00000507,2.8+
00000508,0.9+
00000509,2.8+
00000510,1.0+
00000511,1.5+
00000512,1.5+
00000513,90.0+
00000514,0.8+
00000515,0.8+
00000516,4.5+
00000517,36.9+
00000518,169.5+
00000519,0.9+
00000520,550.0+
00000521,0.9+
00000522,0.9+
00000523,0.9+
00000524,0.9+
00000525,30.0+
00000526,32.0+
00000527,1.0+
00000528,5.0+
00000529,1.1+
00000530,4.2+
00000531,0.9+
00000532,0.9+
00000533,0.9+
00000534,4.0+
00000535,5.1+
00000537,0.9+
00000538,46.0+
00000539,0.9+
00000540,0.9+
00000541,0.9+
00000542,0.9+
00000543,0.9+
00000544,0.9+
00000545,0.9+
00000547,10.2+
00000548,2.5+
00000549,210.0+
00000550,50.0+
00000551,9.9+
00000552,2.2+
00000553,2.7+
00000554,76.0+
00000555,0.9+
00000556,105.0+
00000557,9.1+
00000558,9.5+
00000559,23.3+
00000560,13.0+
00000561,0.9+
00000562,14.5+
00000563,136.0+
00000565,2.0+
00000566,1.1+
00000567,2.0+
00000568,70.6+
00000569,0.9+
00000570,37.0+
00000571,0.3+
00000572,1.8+
00000573,12.1+
00000574,700.0+
00000575,0.9+
00000576,0.9+
00000577,0.9+
00000578,0.9+
00000579,7.0+
00000580,2.2+
00000581,1.7+
00000582,307.0+
00000583,0.9+
00000584,0.9+
00000585,0.9+
00000586,2.8+
00000587,0.9+
00000588,12.6+
00000589,5.7+
00000590,1.3+
00000591,8.3+
00000593,7.5+
00000595,0.9+
00000597,1.0+
00000598,0.9+
00000599,50.0+
00000600,0.9+
00000601,7.0+
00000602,6.0+
00000603,15.0+
00000604,0.9+
00000605,0.9+
00000606,0.9+
00000607,5.0+
00000608,0.9+
00000609,0.9+
00000610,0.9+
00000611,0.9+
00000612,0.9+
00000613,0.9+
00000614,1.0+
00000615,10.3+
00000616,1.1+
00000617,9.7+
00000618,0.2+
00000619,0.6+
00000620,0.9+
00000621,0.9+
00000622,0.9+
00000623,143.0+
00000624,2.1+
00000625,0.9+
00000626,4.0+
00000628,0.9+
00000631,6.0+
00000632,1.9+
00000633,1.4+
00000634,7.1+
00000635,0.9+
00000636,0.9+
00000637,0.9+
00000638,1.1+
00000639,0.5+
00000640,0.9+
00000641,40.5+
00000643,80.0+
00000644,32.0+
00000645,0.9+
00000646,2.8+
00000647,1.0+
00000648,0.9+
00000649,2.8+
00000650,46.0+
00000651,6.8+
00000652,25.0+
00000653,20.0+
00000654,0.9+
